xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.74808,1.3326288
103.748886,1.3326288
103.748886,1.33344
103.74808,1.33344
103.74808,1.3326288
103.748886,1.3326288
103.749695,1.3326288
103.749695,1.33344
103.748886,1.33344
103.748886,1.3326288
103.74808,1.33344
103.748886,1.33344
103.748886,1.3342512
103.74808,1.3342512
103.74808,1.33344
103.748886,1.33344
103.749695,1.33344
103.749695,1.3342512
103.748886,1.3342512
103.748886,1.33344
103.7433,1.3322823
103.74411,1.3322823
103.74411,1.3330935
103.7433,1.3330935
103.7433,1.3322823
103.74411,1.3322823
103.74492,1.3322823
103.74492,1.3330935
103.74411,1.3330935
103.74411,1.3322823
103.7433,1.3330935
103.74411,1.3330935
103.74411,1.3339047
103.7433,1.3339047
103.7433,1.3330935
103.74411,1.3330935
103.74492,1.3330935
103.74492,1.3339047
103.74411,1.3339047
103.74411,1.3330935
103.74584,1.3335525
103.74665,1.3335525
103.74665,1.3343637
103.74584,1.3343637
103.74584,1.3335525
103.74665,1.3335525
103.74746,1.3335525
103.74746,1.3343637
103.74665,1.3343637
103.74665,1.3335525
103.74584,1.3343637
103.74665,1.3343637
103.74665,1.3351749
103.74584,1.3351749
103.74584,1.3343637
103.74665,1.3343637
103.74746,1.3343637
103.74746,1.3351749
103.74665,1.3351749
103.74665,1.3343637
103.748695,1.3328983
103.749504,1.3328983
103.749504,1.3337094
103.748695,1.3337094
103.748695,1.3328983
103.749504,1.3328983
103.75031,1.3328983
103.75031,1.3337094
103.749504,1.3337094
103.749504,1.3328983
103.748695,1.3337094
103.749504,1.3337094
103.749504,1.3345206
103.748695,1.3345206
103.748695,1.3337094
103.749504,1.3337094
103.75031,1.3337094
103.75031,1.3345206
103.749504,1.3345206
103.749504,1.3337094
103.74785,1.3292803
103.74866,1.3292803
103.74866,1.3300914
103.74785,1.3300914
103.74785,1.3292803
103.74866,1.3292803
103.749466,1.3292803
103.749466,1.3300914
103.74866,1.3300914
103.74866,1.3292803
103.74785,1.3300914
103.74866,1.3300914
103.74866,1.3309026
103.74785,1.3309026
103.74785,1.3300914
103.74866,1.3300914
103.749466,1.3300914
103.749466,1.3309026
103.74866,1.3309026
103.74866,1.3300914
103.74827,1.3267784
103.74908,1.3267784
103.74908,1.3275896
103.74827,1.3275896
103.74827,1.3267784
103.74908,1.3267784
103.749886,1.3267784
103.749886,1.3275896
103.74908,1.3275896
103.74908,1.3267784
103.74827,1.3275896
103.74908,1.3275896
103.74908,1.3284009
103.74827,1.3284009
103.74827,1.3275896
103.74908,1.3275896
103.749886,1.3275896
103.749886,1.3284009
103.74908,1.3284009
103.74908,1.3275896
103.75196,1.3316282
103.75277,1.3316282
103.75277,1.3324394
103.75196,1.3324394
103.75196,1.3316282
103.75277,1.3316282
103.75358,1.3316282
103.75358,1.3324394
103.75277,1.3324394
103.75277,1.3316282
103.75196,1.3324394
103.75277,1.3324394
103.75277,1.3332505
103.75196,1.3332505
103.75196,1.3324394
103.75277,1.3324394
103.75358,1.3324394
103.75358,1.3332505
103.75277,1.3332505
103.75277,1.3324394
103.747765,1.3313202
103.74857,1.3313202
103.74857,1.3321314
103.747765,1.3321314
103.747765,1.3313202
103.74857,1.3313202
103.74938,1.3313202
103.74938,1.3321314
103.74857,1.3321314
103.74857,1.3313202
103.747765,1.3321314
103.74857,1.3321314
103.74857,1.3329426
103.747765,1.3329426
103.747765,1.3321314
103.74857,1.3321314
103.74938,1.3321314
103.74938,1.3329426
103.74857,1.3329426
103.74857,1.3321314
103.753235,1.3353615
103.75404,1.3353615
103.75404,1.3361727
103.753235,1.3361727
103.753235,1.3353615
103.75404,1.3353615
103.75485,1.3353615
103.75485,1.3361727
103.75404,1.3361727
103.75404,1.3353615
103.753235,1.3361727
103.75404,1.3361727
103.75404,1.3369839
103.753235,1.3369839
103.753235,1.3361727
103.75404,1.3361727
103.75485,1.3361727
103.75485,1.3369839
103.75404,1.3369839
103.75404,1.3361727
103.74677,1.3330908
103.74758,1.3330908
103.74758,1.3339019
103.74677,1.3339019
103.74677,1.3330908
103.74758,1.3330908
103.74839,1.3330908
103.74839,1.3339019
103.74758,1.3339019
103.74758,1.3330908
103.74677,1.3339019
103.74758,1.3339019
103.74758,1.3347131
103.74677,1.3347131
103.74677,1.3339019
103.74758,1.3339019
103.74839,1.3339019
103.74839,1.3347131
103.74758,1.3347131
103.74758,1.3339019
103.74885,1.3344378
103.74966,1.3344378
103.74966,1.335249
